distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,wait_img_started,key_resp_3_keys,key_resp_3_rt,image_5_started,ins_rep_img_started,st_prac_back_started,prac_img_started,st_fix_back_started,st_fix_2_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st_main_back_started,mouse_4_started,main_key_started,main_img_started,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,main_key_keys,main_key_rt,contineu_img_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,165.166684399941,0.000104099977761507,165.166684399941,165.166684399941,0.0203703703703704,0.012037037037037,0,0,0,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,15.0472629000433,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,6,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,180.255871700007,180.255871700007,main,182.319947900018,None,None,1,1.51196740008891,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,37,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,184.820504299947,None,None,1,1.53299530001823,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,55,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,187.354654400027,k,k,1,1.23216210003011,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,35,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,189.587628299952,k,k,1,1.1000755999703,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,52,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,191.687452399987,None,None,1,1.53216699999757,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,38,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,194.220010599936,None,None,1,1.51572669995949,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,24,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,196.738588799955,k,k,1,1.09614289994352,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,28,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,198.838288599974,None,None,1,1.53304749995004,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
