target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,187.762177800061,None,space,20.6490828000242,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,0.58981484,-0.4037037,0,0,0,0.0318014700897038,None,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,208.467256600037,None,main,2,2,1,neutral,neutral,k,k,1,1.34594909998123,210.489949400071,211.516530800029,211.450035299989,None,210.489949400071,None,210.489949400071,None,210.489949400071,None,212.816412469978,None,212.816412469978,None,212.816412469978,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,187.762177800061,None,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,10,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,neutral,neutral,k,k,1,0.798759700031951,212.817894099979,213.817770700087,213.785335200024,None,212.817894099979,None,212.817894099979,None,212.817894099979,None,214.617197670066,None,214.617197670066,None,214.617197670066,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,11,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,positive,j,j,1,1.06489370006602,214.61783880007,215.650063500041,215.582954299985,None,214.61783880007,None,214.61783880007,None,214.61783880007,None,216.684084070055,None,216.684084070055,None,216.684084070055,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,17,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,neutral,positive,j,j,1,1.03077389998361,216.685298900004,217.684904800029,217.651294799987,None,216.685298900004,None,216.685298900004,None,216.685298900004,None,218.717374469992,None,218.717374469992,None,218.717374469992,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,13,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,neutral,k,k,1,0.99999410007149,218.720026700059,219.75048180006,219.683600899996,None,218.720026700059,None,218.720026700059,None,218.720026700059,None,220.717503470043,None,220.717503470043,None,220.717503470043,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,15,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,negative,l,l,1,1.13037430006079,220.738613100024,221.749928900041,221.716490300023,None,220.738613100024,None,220.738613100024,None,220.738613100024,None,222.852456770046,None,222.852456770046,None,222.852456770046,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,2,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,positive,j,k,0,1.09962399990764,222.853832200053,223.870042000082,223.836607499979,None,222.853832200053,None,222.853832200053,None,222.853832200053,None,224.977819500025,None,224.977819500025,None,224.977819500025,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,14,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,positive,j,j,1,1.57346210000105,226.000930199982,227.002150200075,226.96825949999,None,226.000930199982,None,226.000930199982,None,226.000930199982,None,228.568087370042,None,228.568087370042,None,228.568087370042,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,9,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,negative,l,l,1,1.23244509997312,228.567666999996,229.568385499995,229.535102900001,None,228.567666999996,None,228.567666999996,None,228.567666999996,None,230.801970870025,None,230.801970870025,None,230.801970870025,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
