target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_5_started,image_6_started,back_2_started,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,k_button2_started,l_button2_started,j_button2_stopped,k_button2_stopped,l_button2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,5,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,negative,positive,129.711352000013,129.711352000013,129.711352000013,129.711352000013,130.728216199903,130.776381100062,j,j,1,2.978770500049,133.67805249989,133.67805249989,133.67805249989,134.711306100013,134.711306100013,134.711306100013,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,10,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,neutral,neutral,134.711306100013,134.711306100013,134.711306100013,134.711306100013,135.694716400001,135.727714299923,k,k,1,1.64691560016945,137.361781500047,137.361781500047,137.361781500047,137.361781500047,137.361781500047,137.361781500047,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,7,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,negative,neutral,137.361781500047,137.361781500047,137.361781500047,137.361781500047,138.361423299881,138.394808700075,k,k,1,1.41675819992088,139.795233699959,139.795233699959,139.795233699959,139.795233699959,139.795233699959,139.795233699959,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,9,9,4,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,positive,neutral,139.795233699959,139.795233699959,139.795233699959,139.795233699959,140.761065599974,140.828306499869,k,k,1,1.24404869996943,142.028647999978,142.028647999978,142.028647999978,142.028647999978,142.028647999978,142.028647999978,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,10,10,16,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,neutral,142.028647999978,142.028647999978,142.028647999978,142.028647999978,143.028548799921,143.077032699948,k,k,1,1.19615310011432,144.229259700049,144.229259700049,144.229259700049,144.229259700049,144.229259700049,144.229259700049,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,11,11,6,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,positive,negative,144.229259700049,144.229259700049,144.229259700049,144.229259700049,145.227063499857,145.261957099894,l,l,1,1.8510386000853,147.078587499913,147.078587499913,147.078587499913,147.078587499913,147.078587499913,147.078587499913,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,12,12,17,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,neutral,positive,147.078587499913,147.078587499913,147.078587499913,147.078587499913,148.063778300071,148.094949699938,j,j,1,2.03151770005934,150.095351699973,150.095351699973,150.095351699973,151.146987899905,151.146987899905,151.146987899905,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,13,13,14,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,positive,151.146987899905,151.146987899905,151.146987899905,151.146987899905,152.128967399942,152.21314519993,j,j,1,2.28281540004537,154.396636999911,154.396636999911,154.396636999911,155.429786900058,155.429786900058,155.429786900058,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,14,14,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,neutral,neutral,155.429786900058,155.429786900058,155.429786900058,155.429786900058,156.429306400008,156.462246800074,k,k,1,1.41630319994874,157.862466699909,157.862466699909,157.862466699909,157.862466699909,157.862466699909,157.862466699909,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,15,15,13,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,positive,neutral,157.862466699909,157.862466699909,157.862466699909,157.862466699909,158.862267300021,158.897261400009,k,k,1,2.19645469984971,161.030399200041,161.030399200041,161.030399200041,162.095005899901,162.095005899901,162.095005899901,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,16,16,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,negative,negative,162.095005899901,162.095005899901,162.095005899901,162.095005899901,163.063184299972,163.144608099945,l,l,1,1.54583209985867,164.630250599934,164.630250599934,164.630250599934,164.630250599934,164.630250599934,164.630250599934,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,17,17,3,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,neutral,negative,164.630250599934,164.630250599934,164.630250599934,164.630250599934,165.629912199918,165.662584899925,l,l,1,2.59839570010081,168.19790979987,168.19790979987,168.19790979987,169.262150400085,169.262150400085,169.262150400085,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
