target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,id_,date,expName,psychopyVersion,frameRate
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,8,8,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,positive,positive,l,l,1,1.79345199999807,132.018655199998,133.084223099999,132.984120499998,None,132.018655199998,None,132.018655199998,None,132.018655199998,None,134.752377433332,None,134.752377433332,None,134.752377433332,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,9,9,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,negative,j,j,1,1.2350600000027,134.785250099998,135.8367635,135.800204799998,None,134.785250099998,None,134.785250099998,None,134.785250099998,None,136.984211166666,None,136.984211166666,None,136.984211166666,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,10,10,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,negative,positive,l,l,1,1.46425719999752,137.017668499997,138.082514799997,138.032462199997,None,137.017668499997,None,137.017668499997,None,137.017668499997,None,139.448728766664,None,139.448728766664,None,139.448728766664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,11,11,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,neutral,negative,j,j,1,2.2344783999979,139.483562099998,140.515593799999,140.467297899999,None,139.483562099998,None,139.483562099998,None,139.483562099998,None,142.716413799997,None,142.716413799997,None,142.716413799997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,12,12,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,1.7410701000008,143.764243299996,144.780832799999,144.747571899999,None,143.764243299996,None,143.764243299996,None,143.764243299996,None,146.463978366665,None,146.463978366665,None,146.463978366665,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,13,13,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,l,l,1,1.41916440000205,146.498753099997,147.514345299998,147.514345299998,None,146.498753099997,None,146.498753099997,None,146.498753099997,None,148.89742783333,None,148.89742783333,None,148.89742783333,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,14,14,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,1.34215219999896,148.932232399999,149.963109999997,149.930243699997,None,148.932232399999,None,148.932232399999,None,148.932232399999,None,151.230254766666,None,151.230254766666,None,151.230254766666,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,15,15,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,negative,j,j,1,1.33036139999967,151.2833431,152.350355699997,152.262370199998,None,151.2833431,None,151.2833431,None,151.2833431,None,153.563993566666,None,153.563993566666,None,153.563993566666,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,16,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,negative,negative,j,j,1,2.19720520000192,153.5968717,154.628373399999,154.5999371,None,153.5968717,None,153.5968717,None,153.5968717,None,156.797950999997,None,156.797950999997,None,156.797950999997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,17,17,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,j,j,1,1.87551669999812,157.844076599999,158.864759499997,158.827309299999,None,157.844076599999,None,157.844076599999,None,157.844076599999,None,160.679582866666,None,160.679582866666,None,160.679582866666,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,160.713737799997,None,space,20.5980530000015,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,0.6296296,-0.40833333,0,0,0,0.00139926666452084,None,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,14,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,181.343434799997,None,main,2,2,2,negative,positive,l,l,1,1.06021879999753,183.421801599998,184.437832599997,184.404345799998,None,183.421801599998,None,183.421801599998,None,183.421801599998,None,185.439543433331,None,185.439543433331,None,185.439543433331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,160.713737799997,None,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,12,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,negative,j,j,1,1.57843599999978,185.5058058,186.554023199998,186.470823299998,None,185.5058058,None,185.5058058,None,185.5058058,None,188.021554566665,None,188.021554566665,None,188.021554566665,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,4,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,neutral,k,k,1,1.60511380000025,188.054151299999,189.087584599998,189.036952899998,None,188.054151299999,None,188.054151299999,None,188.054151299999,None,190.640953133331,None,190.640953133331,None,190.640953133331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,6,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,positive,negative,j,j,1,1.81191070000204,190.671382999997,191.702811899999,191.6735486,None,190.671382999997,None,190.671382999997,None,190.671382999997,None,193.455345333332,None,193.455345333332,None,193.455345333332,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,15,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,negative,j,j,1,2.44824090000111,193.505164099999,194.569294299999,194.485330699998,None,193.505164099999,None,193.505164099999,None,193.505164099999,None,196.937198599997,None,196.937198599997,None,196.937198599997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,1,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,neutral,k,k,1,2.13346249999813,198.019584399997,199.067614899999,199.001150399999,None,198.019584399997,None,198.019584399997,None,198.019584399997,None,201.1223402,None,201.1223402,None,201.1223402,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,16,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,negative,neutral,k,k,1,1.37816960000055,202.171810399999,203.216403099999,203.153231199998,None,202.171810399999,None,202.171810399999,None,202.171810399999,None,204.499585966664,None,204.499585966664,None,204.499585966664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,5,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,positive,l,l,1,1.38220359999832,204.534436899998,205.567054499999,205.567054499999,None,204.534436899998,None,204.534436899998,None,204.534436899998,None,206.901041799997,None,206.901041799997,None,206.901041799997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,9,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,negative,j,j,1,1.64633200000026,206.934297399999,208.000346099998,207.915752699999,None,206.934297399999,None,206.934297399999,None,206.934297399999,None,209.551383133331,None,209.551383133331,None,209.551383133331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,9,9,0,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,negative,j,j,1,1.60641029999897,209.5994799,210.6482411,210.614674199998,None,209.5994799,None,209.5994799,None,209.5994799,None,212.164385833331,None,212.164385833331,None,212.164385833331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,10,10,13,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,neutral,k,k,1,1.60263479999776,212.218666699999,213.283095799998,213.230921999999,None,212.218666699999,None,212.218666699999,None,212.218666699999,None,214.763581366664,None,214.763581366664,None,214.763581366664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,11,11,11,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,positive,l,l,1,3.40801490000013,214.816651999998,215.863252699997,215.779974699999,None,214.816651999998,None,214.816651999998,None,214.816651999998,None,219.195976699997,None,219.195976699997,None,219.195976699997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,12,12,10,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,neutral,k,k,1,6.42355350000071,220.228569899999,221.2980603,221.245629099998,None,220.228569899999,None,220.228569899999,None,220.228569899999,None,227.628445399998,None,227.628445399998,None,227.628445399998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,13,13,17,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,positive,l,l,1,6.22343040000123,228.676912999999,229.709841899999,229.709841899999,None,228.676912999999,None,228.676912999999,None,228.676912999999,None,235.876678699999,None,235.876678699999,None,235.876678699999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,14,14,3,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,negative,j,j,1,2.54263409999839,236.9250254,237.9618151,237.926233299997,None,236.9250254,None,236.9250254,None,236.9250254,None,240.458788899999,None,240.458788899999,None,240.458788899999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,15,15,2,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,positive,l,l,1,2.13456880000012,241.507363499997,242.540775899997,242.507510099997,None,241.507363499997,None,241.507363499997,None,241.507363499997,None,244.6247286,None,244.6247286,None,244.6247286,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,16,16,8,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,positive,l,l,1,2.39037150000149,245.672847299997,246.722553099997,246.672632499998,None,245.672847299997,None,245.672847299997,None,245.672847299997,None,249.040279999997,None,249.040279999997,None,249.040279999997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,17,17,7,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,neutral,k,k,1,1.84760439999809,250.088222699997,251.104591299998,251.071079899997,None,250.088222699997,None,250.088222699997,None,250.088222699997,None,252.905118833333,None,252.905118833333,None,252.905118833333,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,0,18,7,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,negative,neutral,k,k,1,2.45611260000078,252.937407199999,253.9705273,253.9210919,None,252.937407199999,None,252.937407199999,None,252.937407199999,None,256.3723297,None,256.3723297,None,256.3723297,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,1,19,14,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,negative,positive,l,k,0,1.988739299999,257.4029758,258.420718999998,258.420718999998,None,257.4029758,None,257.4029758,None,257.4029758,None,260.423136999998,None,260.423136999998,None,260.423136999998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,2,20,9,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,negative,j,j,1,2.01778099999865,261.501951999999,262.559160699999,262.506125399999,None,261.501951999999,None,261.501951999999,None,261.501951999999,None,264.488490399999,None,264.488490399999,None,264.488490399999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,3,21,5,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,positive,l,l,1,2.2903879000005,265.555270099998,266.589076299999,266.551304199998,None,265.555270099998,None,265.555270099998,None,265.555270099998,None,268.818559699997,None,268.818559699997,None,268.818559699997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
