distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,wait_img_started,key_resp_3_keys,key_resp_3_rt,image_5_started,ins_rep_img_started,st_prac_back_started,prac_img_started,st_fix_back_started,st_fix_2_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st_main_back_started,mouse_4_started,main_key_started,main_img_started,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,main_key_keys,main_key_rt,st_fix_back_stopped,st_fix_2_stopped,contineu_img_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,29.9387280000374,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,43,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,269.264276699978,269.264276699978,main,271.295741999988,None,None,1,1.51015039999038,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,271.295741999988,271.295741999988,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,56,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,273.818096400006,k,k,1,1.41626500000712,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,58,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,276.230784199899,None,None,1,1.51554980000947,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,37,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,278.731760800001,None,None,1,1.51526140002534,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,41,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,281.263412099914,k,k,1,1.44873310008552,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,39,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,283.698472499964,None,None,1,1.51552860008087,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,18,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,286.215289699961,None,None,1,1.51521980005782,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,47,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,288.732043399941,k,k,1,1.14764250000007,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,19,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,290.882297399919,k,k,1,1.1828048999887,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,9,9,23,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,293.066024499945,None,None,1,1.51675299997441,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,10,10,16,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,295.582448499976,k,k,1,1.36635729996487,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,11,11,53,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,297.94953559991,k,k,1,0.897041200078093,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,12,12,51,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,299.849614499952,None,None,1,1.51677250000648,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,13,13,36,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,302.366159099969,k,k,1,1.11471799993888,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,14,14,44,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,304.483352500014,k,k,1,2.13246980006807,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,15,15,38,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,308.61599109997,None,None,1,1.51847070001531,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,16,16,29,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,311.132256999961,None,None,1,1.51593619992491,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,17,17,11,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,313.650057299994,None,None,1,1.51541699992958,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,18,18,14,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,316.167235199944,None,None,1,1.51594799989834,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,19,19,12,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,318.698586299899,None,None,1,1.51509530004114,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,20,20,26,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,321.200299599906,k,k,1,1.88152109994553,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,21,21,25,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,324.084526599967,k,k,1,1.16696119995322,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,22,22,15,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,326.2670642999,k,k,1,1.34795199998189,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,23,23,6,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,328.601450699964,None,None,1,1.51658529997803,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,24,24,10,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,331.132620699937,k,k,1,1.09743059996981,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,25,25,21,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,333.218082799925,None,None,1,1.51624579995405,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,26,26,27,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,335.734473399934,k,k,1,0.980838400078937,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,27,27,35,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,337.717931199935,k,k,1,1.11512460000813,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
