target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_started,mouse_stopped,sound_1_started,sound_1_stopped,no_text_started,no_text_stopped,yes_text_started,yes_text_stopped,mouse_2_x,mouse_2_y,mouse_2_leftButton,mouse_2_midButton,mouse_2_rightButton,mouse_2_started,mouse_2_stopped,mouse_2_clicked_name,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,5,59,14,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,2,negative,positive,l,l,1,0.651938499999233,310.42698259998,311.441675299982,311.40786539999,None,310.42698259998,None,310.42698259998,None,310.42698259998,None,312.068387999991,None,312.068387999991,None,312.068387999991,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,6,60,9,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,2,negative,negative,j,j,1,1.28938649999327,312.08694389998,313.092228399997,313.057939099992,None,312.08694389998,None,312.08694389998,None,312.08694389998,None,314.359047599987,None,314.359047599987,None,314.359047599987,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7,61,8,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,1,neutral,positive,l,l,1,0.707123999978648,314.374731599994,315.386296699988,315.365972400003,None,314.374731599994,None,314.374731599994,None,314.374731599994,None,316.070089199994,None,316.070089199994,None,316.070089199994,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,8,62,1,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,1,neutral,neutral,k,k,1,0.656090100004803,316.085879599996,317.102320599981,317.057700200006,None,316.085879599996,None,316.085879599996,None,316.085879599996,None,317.726060899999,None,317.726060899999,None,317.726060899999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,9,63,0,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,1,negative,negative,j,k,0,0.572016899997834,317.743622699985,318.769156099996,318.724559599999,None,317.743622699985,None,317.743622699985,None,317.743622699985,None,319.311630699987,None,319.311630699987,None,319.311630699987,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,10,64,6,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,1,positive,negative,j,j,1,0.7730475999997,320.326690699992,321.3414796,321.322355599987,None,320.326690699992,None,320.326690699992,None,320.326690699992,None,322.087022400001,None,322.087022400001,None,322.087022400001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,11,65,16,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,1,1,2,negative,neutral,k,k,1,0.840808899985859,322.106452399981,323.124725400005,323.086231699999,None,322.106452399981,None,322.106452399981,None,322.106452399981,None,323.928755699983,None,323.928755699983,None,323.928755699983,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,12,66,2,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,1,1,1,positive,positive,l,l,1,0.703596000006655,323.945272699988,324.957593900006,324.91913949998,None,323.945272699988,None,323.945272699988,None,323.945272699988,None,325.636209399998,None,325.636209399998,None,325.636209399998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,13,67,5,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,1,negative,positive,l,l,1,0.658720899984473,325.656530799984,326.675071200007,326.636276000005,None,325.656530799984,None,325.656530799984,None,325.656530799984,None,327.296688499983,None,327.296688499983,None,327.296688499983,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,14,68,7,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,1,1,1,negative,neutral,k,k,1,0.847493799985386,327.313760999998,328.3270815,328.291578599979,None,327.313760999998,None,327.313760999998,None,327.313760999998,None,329.147226599982,None,329.147226599982,None,329.147226599982,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
