target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,177.226104499998,None,space,7.51390960000208,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,0.5675926,-0.40092593,0,0,0,0.015468466666789,None,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,184.782681799999,None,main,1,1,1,neutral,neutral,k,k,1,4.64979120000135,186.835844999998,187.865377799997,187.8326743,None,186.835844999998,None,186.835844999998,None,186.835844999998,None,192.449967099998,None,192.449967099998,None,192.449967099998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,177.226104499998,None,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,15,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,negative,j,j,1,4.13688960000218,193.497506099997,194.5137349,194.480592599997,None,193.497506099997,None,193.497506099997,None,193.497506099997,None,198.597903499998,None,198.597903499998,None,198.597903499998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,8,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,positive,l,l,1,5.19393019999916,199.646587799998,200.679217299999,200.645737199997,None,199.646587799998,None,199.646587799998,None,199.646587799998,None,205.829814199999,None,205.829814199999,None,205.829814199999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,3,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,negative,j,j,1,3.80281190000096,206.860952999999,207.910991699999,207.860432099998,None,206.860952999999,None,206.860952999999,None,206.860952999999,None,211.662061899999,None,211.662061899999,None,211.662061899999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,11,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,positive,l,l,1,3.46013959999982,212.709071699999,213.742450999998,213.708983799999,None,212.709071699999,None,212.709071699999,None,212.709071699999,None,217.160277399998,None,217.160277399998,None,217.160277399998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,2,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,positive,l,,0,2.9010930000004,218.207739099998,219.240832399999,219.210964299997,None,218.207739099998,None,218.207739099998,None,218.207739099998,None,222.0941919,None,222.0941919,None,222.0941919,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,16,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,neutral,k,j,0,4.40274359999967,223.144420599998,224.1733193,224.139993699999,None,223.144420599998,None,223.144420599998,None,223.144420599998,None,228.540699699999,None,228.540699699999,None,228.540699699999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,10,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,neutral,k,k,1,3.67035029999897,229.593074599998,230.621560099997,230.588174099998,None,229.593074599998,None,229.593074599998,None,229.593074599998,None,234.255656899997,None,234.255656899997,None,234.255656899997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
