target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
negative,negative,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8,8,0,,NaN,NaN,NaN,main,1,1,1,negative,negative,882.443858299999,883.437991000001,883.437991000001,883.454521500002,j,l,0,1.60735009999917,l,0,1.58547689999978,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,negative,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,9,14,,NaN,NaN,NaN,main,2,2,2,negative,positive,886.061478699999,887.054812200002,887.054812200002,887.071814600002,l,l,1,3.49020799999926,l,1,3.47214890000032,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,neutral,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10,10,1,,NaN,NaN,NaN,main,1,1,1,neutral,neutral,891.5600908,892.554559900002,892.554559900002,892.5712296,k,k,1,2.30613109999831,k,1,2.27521490000072,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,positive,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,11,11,2,,NaN,NaN,NaN,main,1,1,1,positive,positive,895.8603757,896.854472600002,896.854472600002,896.871072399999,l,l,1,3.0235974999996,l,1,3.00019140000222,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,negative,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,12,12,9,,NaN,NaN,NaN,main,2,2,2,negative,negative,900.893131700001,901.887889899999,901.887889899999,901.904679699999,j,j,1,2.52355389999866,j,1,2.49506230000043,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,neutral,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13,13,3,,NaN,NaN,NaN,main,2,2,1,neutral,negative,905.428994700002,906.421332299999,906.421332299999,906.438052899999,j,l,0,2.94018979999964,l,0,2.92044549999991,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,neutral,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14,14,8,,NaN,NaN,NaN,main,1,1,1,neutral,positive,910.377322400002,911.371258600002,911.371258600002,911.388036400002,l,l,1,2.02313579999827,l,1,1.99614700000166,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,neutral,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15,15,10,,NaN,NaN,NaN,main,1,1,2,neutral,neutral,914.409532200001,915.3879574,915.3879574,915.4210822,k,k,1,1.79057159999866,k,1,1.77863449999859,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,negative,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16,16,7,,NaN,NaN,NaN,main,2,2,1,negative,neutral,918.209875900002,919.2044644,919.2044644,919.221195600001,k,k,1,1.88989760000186,k,1,1.86674869999842,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,positive,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17,17,11,,NaN,NaN,NaN,main,2,2,2,positive,positive,922.0945495,923.0880686,923.0880686,923.104656000001,l,l,1,1.92343919999985,l,1,1.89600919999793,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,negative,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,18,9,,NaN,NaN,NaN,main,1,1,2,negative,negative,926.026294900001,927.021015100001,927.021015100001,927.0383002,j,j,1,1.93992400000207,j,1,1.92110419999881,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,neutral,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,19,1,,NaN,NaN,NaN,main,2,2,1,neutral,neutral,929.9605421,930.9544439,930.9544439,930.9713015,k,k,1,1.44001049999861,k,1,1.41369049999776,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,negative,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,20,14,,NaN,NaN,NaN,main,2,2,2,negative,positive,932.407131000002,933.3881442,933.3881442,933.4212914,l,l,1,1.49979750000057,l,1,1.48234869999942,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
