target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_started,mouse_stopped,sound_1_started,sound_1_stopped,no_text_started,no_text_stopped,yes_text_started,yes_text_stopped,mouse_2_x,mouse_2_y,mouse_2_leftButton,mouse_2_midButton,mouse_2_rightButton,mouse_2_started,mouse_2_stopped,mouse_2_clicked_name,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,7,7,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,0.829691499995533,134.575793199998,135.5811598,135.56496399999,None,134.575793199998,None,134.575793199998,None,134.575793199998,None,136.379768330001,None,136.379768330001,None,136.379768330001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,8,8,12,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,2,neutral,negative,l,l,1,0.838886799989268,136.405113399989,137.414432799997,137.397903400008,None,136.405113399989,None,136.405113399989,None,136.405113399989,None,138.220192229995,None,138.220192229995,None,138.220192229995,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,9,9,10,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,0.76481719998992,138.238651299995,139.247832099994,139.212574300007,None,138.238651299995,None,138.238651299995,None,138.238651299995,None,139.987813830006,None,139.987813830006,None,139.987813830006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,10,10,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,2,positive,negative,l,l,1,0.725207000010414,140.005854899995,141.024094399996,140.977832500008,None,140.005854899995,None,140.005854899995,None,140.005854899995,None,141.71465963001,None,141.71465963001,None,141.71465963001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,11,11,14,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,2,negative,positive,j,j,1,0.841764600016177,141.743774700008,142.744855900004,142.7273422,None,141.743774700008,None,141.743774700008,None,141.743774700008,None,143.561072129998,None,143.561072129998,None,143.561072129998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,12,12,16,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,2,negative,neutral,k,k,1,0.888143300020602,143.581787600007,144.59136359999,144.564699399984,None,143.581787600007,None,143.581787600007,None,143.581787600007,None,145.450505930008,None,145.450505930008,None,145.450505930008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,13,13,5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,1,negative,positive,j,j,1,1.09894809999969,145.466930299997,146.476108000003,146.457468100009,None,145.466930299997,None,145.466930299997,None,145.466930299997,None,147.551357230006,None,147.551357230006,None,147.551357230006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,14,14,3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,1,neutral,negative,l,l,1,0.797819500003243,147.568579899991,148.582136199984,148.545134299988,None,147.568579899991,None,147.568579899991,None,147.568579899991,None,149.352149129999,None,149.352149129999,None,149.352149129999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,15,15,2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,1,positive,positive,j,j,1,0.717058500013081,149.368542599987,150.381510999985,150.347843700001,None,149.368542599987,None,149.368542599987,None,149.368542599987,None,151.071354630004,None,151.071354630004,None,151.071354630004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,16,16,17,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,2,neutral,positive,j,j,1,0.926569000002928,151.099362499983,152.114855599997,152.081533199991,None,151.099362499983,None,151.099362499983,None,151.099362499983,None,153.000126229986,None,153.000126229986,None,153.000126229986,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,17,17,7,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,1,negative,neutral,k,k,1,0.750319799990393,153.017651800008,154.041442199989,153.997642600007,None,153.017651800008,None,153.017651800008,None,153.017651800008,None,154.752733629991,None,154.752733629991,None,154.752733629991,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,negative,1,l,j,NaN,NaN,NaN,NaN,1,0,18,5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,1,negative,positive,j,j,1,1.03101580002112,154.777817099995,155.791253500007,155.764158999984,None,154.777817099995,None,154.777817099995,None,154.777817099995,None,156.786318229986,None,156.786318229986,None,156.786318229986,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,negative,2,l,j,NaN,NaN,NaN,NaN,1,1,19,14,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,2,negative,positive,j,j,1,0.741901700006565,156.804550900008,157.815061300003,157.778078100004,None,156.804550900008,None,156.804550900008,None,156.804550900008,None,158.531575629991,None,158.531575629991,None,158.531575629991,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
negative,positive,2,j,l,NaN,NaN,NaN,NaN,1,2,20,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,2,positive,negative,l,l,1,0.771781099989312,158.549135199981,159.548276699992,159.531777800003,None,158.549135199981,None,158.549135199981,None,158.549135199981,None,160.305974030003,None,160.305974030003,None,160.305974030003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,1,3,21,12,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,2,neutral,negative,l,l,1,0.839845999988029,160.320325299981,161.331148800004,161.312682899996,None,160.320325299981,None,160.320325299981,None,160.320325299981,None,162.147968129991,None,162.147968129991,None,162.147968129991,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,1,4,22,7,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,1,negative,neutral,k,k,1,0.686535000015283,162.164823800005,163.181495900004,163.146465600003,None,162.164823800005,None,162.164823800005,None,162.164823800005,None,163.837061729989,None,163.837061729989,None,163.837061729989,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,1,5,23,13,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,2,positive,neutral,k,k,1,0.766465000022436,163.8536991,164.874756200006,164.831686499994,None,163.8536991,None,163.8536991,None,163.8536991,None,165.605547930006,None,165.605547930006,None,165.605547930006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
negative,negative,1,j,l,NaN,NaN,NaN,NaN,1,6,24,0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,1,negative,negative,l,l,1,0.848084900004324,165.622233600006,166.634243399982,166.600160000002,None,165.622233600006,None,165.622233600006,None,165.622233600006,None,167.455418829989,None,167.455418829989,None,167.455418829989,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,1,7,25,3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,1,neutral,negative,l,l,1,0.808610800013412,167.472767400002,168.481687199994,168.446773600008,None,167.472767400002,None,167.472767400002,None,167.472767400002,None,169.267060730004,None,169.267060730004,None,169.267060730004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,1,8,26,17,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,2,neutral,positive,j,j,1,0.803416599985212,169.283213599992,170.308557699987,170.262303399999,None,169.283213599992,None,169.283213599992,None,169.283213599992,None,171.073602030004,None,171.073602030004,None,171.073602030004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,positive,1,l,j,NaN,NaN,NaN,NaN,1,9,27,2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,1,positive,positive,j,j,1,1.82434840002679,171.089843499998,172.093358599988,172.07511179999,None,171.089843499998,None,171.089843499998,None,171.089843499998,None,173.903950999986,None,173.903950999986,None,173.903950999986,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
negative,positive,1,j,l,NaN,NaN,NaN,NaN,1,10,28,6,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,1,positive,negative,l,l,1,0.88982089998899,174.917223900004,175.943397299998,175.897729399992,None,174.917223900004,None,174.917223900004,None,174.917223900004,None,176.793633130009,None,176.793633130009,None,176.793633130009,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,1,11,29,16,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,2,negative,neutral,k,k,1,0.768012700020336,176.812068300002,177.81556789999,177.798173899995,None,176.812068300002,None,176.812068300002,None,176.812068300002,None,178.565625630008,None,178.565625630008,None,178.565625630008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,1,12,30,4,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,1,1,1,positive,neutral,k,k,1,0.852708300022641,178.582214800001,179.608566199982,179.563712600007,None,178.582214800001,None,178.582214800001,None,178.582214800001,None,180.420662929982,None,180.420662929982,None,180.420662929982,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,1,13,31,10,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,2,neutral,neutral,k,k,1,0.849035599996569,180.437428400008,181.447560200002,181.411455499998,None,180.437428400008,None,180.437428400008,None,180.437428400008,None,182.273126430003,None,182.273126430003,None,182.273126430003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,positive,2,l,j,NaN,NaN,NaN,NaN,1,14,32,11,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,2,positive,positive,j,j,1,0.710158999980194,182.289632600005,183.293820599996,183.275396599987,None,182.289632600005,None,182.289632600005,None,182.289632600005,None,183.984589329988,None,183.984589329988,None,183.984589329988,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,1,15,33,8,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,1,neutral,positive,j,j,1,1.02034909999929,184.00075159999,185.01541209998,184.978420700005,None,184.00075159999,None,184.00075159999,None,184.00075159999,None,186.008133929988,None,186.008133929988,None,186.008133929988,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,1,16,34,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,0.793021899997257,186.02933379999,187.031883399992,186.998274299985,None,186.02933379999,None,186.02933379999,None,186.02933379999,None,187.803757030002,None,187.803757030002,None,187.803757030002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
negative,negative,2,j,l,NaN,NaN,NaN,NaN,1,17,35,9,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,prac,2,2,2,negative,negative,l,l,1,0.747977199993329,187.818654100003,188.832395200006,188.798004099983,None,187.818654100003,None,187.818654100003,None,187.818654100003,None,189.553913129997,None,189.553913129997,None,189.553913129997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,189.565018399997,None,None,NaN,NaN,NaN,NaN,NaN,NaN,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,0.5537037,-0.32222223,1,0,0,0.00662922998890281,None,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.003876255473
