target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_5_started,image_6_started,back_2_started,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,id_,date,expName,psychopyVersion,frameRate
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,11,11,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,negative,negative,67.9873001000378,67.9873001000378,67.9873001000378,67.9873001000378,68.953972000163,69.0198068001773,l,l,1,1.09907140000723,70.0867473001126,70.0867473001126,70.0867473001126,70.0867473001126,70.0867473001126,70.0867473001126,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,12,12,6,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,positive,negative,70.0867473001126,70.0867473001126,70.0867473001126,70.0867473001126,71.0530327002052,71.1195046000648,l,l,1,1.08146850019693,72.1697833000217,72.1697833000217,72.1697833000217,72.1697833000217,72.1697833000217,72.1697833000217,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,13,13,14,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,negative,positive,72.1697833000217,72.1697833000217,72.1697833000217,72.1697833000217,73.1529988001566,73.1859891000204,j,j,1,1.11312759993598,74.2869190000929,74.2869190000929,74.2869190000929,74.2869190000929,74.2869190000929,74.2869190000929,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,14,14,12,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,neutral,negative,74.2869190000929,74.2869190000929,74.2869190000929,74.2869190000929,75.2529845000245,75.319612900028,l,l,1,1.23262210004032,76.5208171000704,76.5208171000704,76.5208171000704,76.5208171000704,76.5208171000704,76.5208171000704,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,15,15,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,neutral,neutral,76.5208171000704,76.5208171000704,76.5208171000704,76.5208171000704,77.4870370000135,77.5538577002008,k,k,1,1.13118629995733,78.6539617001545,78.6539617001545,78.6539617001545,78.6539617001545,78.6539617001545,78.6539617001545,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,16,16,17,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,neutral,positive,78.6539617001545,78.6539617001545,78.6539617001545,78.6539617001545,79.6200842000544,79.6874687999953,j,j,1,1.19682449987158,80.855014000088,80.855014000088,80.855014000088,80.855014000088,80.855014000088,80.855014000088,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,17,17,11,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,positive,positive,80.855014000088,80.855014000088,80.855014000088,80.855014000088,81.8209884001408,81.8873505000956,j,j,1,1.13048319984227,82.9876577001996,82.9876577001996,82.9876577001996,82.9876577001996,82.9876577001996,82.9876577001996,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,0,18,14,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,positive,82.9876577001996,82.9876577001996,82.9876577001996,82.9876577001996,83.9712674000766,84.0049858000129,j,j,1,1.08247049991041,85.0707947001792,85.0707947001792,85.0707947001792,85.0707947001792,85.0707947001792,85.0707947001792,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,1,19,13,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,positive,neutral,85.0707947001792,85.0707947001792,85.0707947001792,85.0707947001792,86.0376489001792,86.1040783000644,k,k,1,1.16234549996443,87.2374527000356,87.2374527000356,87.2374527000356,87.2374527000356,87.2374527000356,87.2374527000356,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,2,20,5,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,negative,positive,87.2374527000356,87.2374527000356,87.2374527000356,87.2374527000356,88.2036305000074,88.2703824001364,j,j,1,1.49686999991536,89.7381484999787,89.7381484999787,89.7381484999787,89.7381484999787,89.7381484999787,89.7381484999787,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,3,21,15,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,positive,negative,89.7381484999787,89.7381484999787,89.7381484999787,89.7381484999787,90.7044554001186,90.770913500106,l,l,1,0.935137700056657,91.6712211000267,91.6712211000267,91.6712211000267,91.6712211000267,91.6712211000267,91.6712211000267,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,4,22,16,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,negative,neutral,91.6712211000267,91.6712211000267,91.6712211000267,91.6712211000267,92.6715348002035,92.7045204001479,k,k,1,1.06115299998783,93.7383527001366,93.7383527001366,93.7383527001366,93.7383527001366,93.7383527001366,93.7383527001366,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,5,23,3,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,neutral,negative,93.7383527001366,93.7383527001366,93.7383527001366,93.7383527001366,94.7035581001546,94.7716242000461,l,l,1,1.16221969993785,95.9050749000162,95.9050749000162,95.9050749000162,95.9050749000162,95.9050749000162,95.9050749000162,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,6,24,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,negative,negative,95.9050749000162,95.9050749000162,95.9050749000162,95.9050749000162,96.8718181001022,96.9387535001151,l,l,1,1.36672679986805,98.2713552999776,98.2713552999776,98.2713552999776,98.2713552999776,98.2713552999776,98.2713552999776,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,7,25,8,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,neutral,positive,98.2713552999776,98.2713552999776,98.2713552999776,98.2713552999776,99.2382176001556,99.3044654000551,j,j,1,1.19772019982338,100.471418300178,100.471418300178,100.471418300178,100.471418300178,100.471418300178,100.471418300178,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,8,26,10,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,neutral,neutral,100.471418300178,100.471418300178,100.471418300178,100.471418300178,101.437891600188,101.504602300003,k,k,1,0.93055330007337,102.405509100063,102.405509100063,102.405509100063,102.405509100063,102.405509100063,102.405509100063,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,9,27,11,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,positive,positive,102.405509100063,102.405509100063,102.405509100063,102.405509100063,103.371979300166,103.438289500074,j,j,1,1.20186080015264,104.605225700187,104.605225700187,104.605225700187,104.605225700187,104.605225700187,104.605225700187,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,10,28,12,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,neutral,negative,104.605225700187,104.605225700187,104.605225700187,104.605225700187,105.572127000196,105.638270900119,l,l,1,1.16290799994022,106.772296800045,106.772296800045,106.772296800045,106.772296800045,106.772296800045,106.772296800045,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,11,29,7,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,negative,neutral,106.772296800045,106.772296800045,106.772296800045,106.772296800045,107.739403800108,107.822843400063,k,k,1,1.03216419997625,108.788896900136,108.788896900136,108.788896900136,108.788896900136,108.788896900136,108.788896900136,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,12,30,9,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,negative,108.788896900136,108.788896900136,108.788896900136,108.788896900136,109.788891000208,109.822546700016,l,l,1,1.14632839988917,110.955641900189,110.955641900189,110.955641900189,110.955641900189,110.955641900189,110.955641900189,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,13,31,6,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,positive,negative,110.955641900189,110.955641900189,110.955641900189,110.955641900189,111.922268300084,111.989640600048,l,l,1,1.22965570003726,113.189045900013,113.189045900013,113.189045900013,113.189045900013,113.189045900013,113.189045900013,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,14,32,4,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,positive,neutral,113.189045900013,113.189045900013,113.189045900013,113.189045900013,114.155168100027,114.222230600193,k,k,1,1.16710079996847,115.356676400173,115.356676400173,115.356676400173,115.356676400173,115.356676400173,115.356676400173,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,15,33,2,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,positive,positive,115.356676400173,115.356676400173,115.356676400173,115.356676400173,116.322711900109,116.388696199981,j,j,1,0.962164799915627,117.323204500135,117.323204500135,117.323204500135,117.323204500135,117.323204500135,117.323204500135,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,16,34,17,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,neutral,positive,117.323204500135,117.323204500135,117.323204500135,117.323204500135,118.289217700018,118.356839400018,j,j,1,0.960494600003585,119.289703499991,119.289703499991,119.289703499991,119.289703499991,119.289703499991,119.289703499991,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,17,35,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,neutral,neutral,119.289703499991,119.289703499991,119.289703499991,119.289703499991,120.256127200089,120.322305000154,k,k,1,0.93226580019109,121.223437800072,121.223437800072,121.223437800072,121.223437800072,121.223437800072,121.223437800072,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,0,36,17,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,neutral,positive,121.223437800072,121.223437800072,121.223437800072,121.223437800072,122.189452700084,122.255848900182,j,j,1,1.16742790001445,123.39049580018,123.39049580018,123.39049580018,123.39049580018,123.39049580018,123.39049580018,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,1,37,3,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,neutral,negative,123.39049580018,123.39049580018,123.39049580018,123.39049580018,124.389023800148,124.422802100191,l,l,1,0.961662700166926,125.356631100178,125.356631100178,125.356631100178,125.356631100178,125.356631100178,125.356631100178,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,2,38,14,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,positive,125.356631100178,125.356631100178,125.356631100178,125.356631100178,126.323481000029,126.390614800155,j,j,1,1.16687229997478,127.523349800147,127.523349800147,127.523349800147,127.523349800147,127.523349800147,127.523349800147,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,3,39,8,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,neutral,positive,127.523349800147,127.523349800147,127.523349800147,127.523349800147,128.489785799989,128.556775700068,j,j,1,1.0623149999883,129.590292799985,129.590292799985,129.590292799985,129.590292799985,129.590292799985,129.590292799985,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,4,40,9,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,negative,129.590292799985,129.590292799985,129.590292799985,129.590292799985,130.556603600038,130.623995200032,l,l,1,0.976962999906391,131.573637600057,131.573637600057,131.573637600057,131.573637600057,131.573637600057,131.573637600057,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
